deputado_id,deputado_nome,deputado_partido,deputado_uf,total_gasto
220540,Duda Ramos,PODE,RR,1776660.43
141470,José Guimarães,PT,CE,1775715.39
74376,Vander Loubet,PT,MS,1774594.99
204481,Dr. Jaziel,PL,CE,1773991.23
178843,Marx Beltrão,UNIÃO,AL,1773656.34
204504,Cezinha de Madureira,PL,SP,1773421.86
204416,Sanderson,PL,RS,1772965.23
220555,Daiana Santos,PCdoB,RS,1772848.29
220671,Dilvanda Faro,PT,PA,1769654.02
160553,Antonio Brito,PSD,BA,1769110.26
220597,Thiago Flores,UNIÃO,RO,1768838.29
220588,Roberto Duarte,REPUBLICANOS,AC,1765388.59
92699,Fernando Monteiro,PSD,PE,1764784.84
160600,Arthur Oliveira Maia,UNIÃO,BA,1762118.53
204534,Tabata Amaral,PSB,SP,1761964.45
220669,Lula da Fonte,PP,PE,1761781.77
88256,Clodoaldo Magalhães,PV,PE,1759284.17
178927,Aliel Machado,PV,PR,1755890.38
153423,Renilce Nicodemos,MDB,PA,1753789.66
220675,Antônio Doido,MDB,PA,1752556.50
139285,Lídice da Mata,PSB,BA,1750957.87
204472,José Medeiros,PL,MT,1749568.78
74356,Silas Câmara,REPUBLICANOS,AM,1749035.27
220557,Daniela Reinehr,PL,SC,1748992.45
162067,Kiko Celeguim,PT,SP,1746970.01
160517,Paulo Folletto,PSB,ES,1744666.17
178860,Paulo Azi,UNIÃO,BA,1743911.13
204567,Raimundo Costa,PSD,BA,1743650.92
204486,Mauro Benevides Filho,UNIÃO,CE,1741597.97
220609,Maurício Carvalho,UNIÃO,RO,1741529.89
220697,Jadyel Alencar,REPUBLICANOS,PI,1736857.77
220703,Neto Carletto,AVANTE,BA,1734854.10
220663,Eriberto Medeiros,PSB,PE,1732985.00
141398,Carlos Zarattini,PT,SP,1732671.60
220633,Ricardo Salles,NOVO,SP,1732284.95
220701,Delegado Matheus Laiola,UNIÃO,PR,1732223.36
204495,Airton Faleiro,PT,PA,1732152.50
178992,Vitor Lippi,PSD,SP,1730177.55
160569,Waldenor Pereira,PT,BA,1728130.88
133439,André Figueiredo,PDT,CE,1728075.66
74057,Alice Portugal,PCdoB,BA,1727950.80
220640,Juliana Cardoso,PT,SP,1725594.38
74383,Giacobo,PSD,PR,1724821.76
204367,Daniel Freitas,PL,SC,1722628.12
178993,Carlos Henrique Gaguim,UNIÃO,TO,1721823.62
220684,Tião Medeiros,PP,PR,1720782.19
220556,Ana Paula Lima,PT,SC,1720351.31
74159,Odair Cunha,PT,MG,1719272.44
74317,Júlio Cesar,PSD,PI,1718310.47
141464,José Airton Félix Cirilo,PT,CE,1715631.57
220664,Guilherme Uchoa,PSD,PE,1715483.16
162332,Luiz Nishimori,PSD,PR,1715046.23
220693,Roberta Roma,PL,BA,1713544.27
92776,Stefano Aguiar,PSD,MG,1711238.03
204488,Célio Studart,PSD,CE,1711177.58
123086,Átila Lira,PP,PI,1709264.07
178933,Sergio Souza,MDB,PR,1708291.18
220583,Delegado Fabio Costa,PP,AL,1707218.65
210989,Bruno Farias,REPUBLICANOS,MG,1706668.11
204356,Amaro Neto,PP,ES,1706616.91
204427,Fernando Rodolfo,PRD,PE,1706091.81
220695,Rogéria Santos,REPUBLICANOS,BA,1704209.32
178857,Jorge Solla,PT,BA,1704174.91
220612,Bebeto,PP,RJ,1703653.00
160548,Jonas Donizette,PSB,SP,1702288.40
